strategy,scenario,coverage_share,orders_contacted,observed_low_reviews_in_segment,low_reviews_captured_share,segment_low_review_rate,lift_vs_baseline,cost_per_contact_brl,assumed_intervention_effectiveness,value_per_successful_recovery_brl,expected_successful_recoveries,intervention_cost_brl,expected_benefit_brl,expected_net_value_brl,expected_roi,random_selection_expected_net_value_brl,incremental_net_value_vs_random_brl,break_even_effectiveness
post_delivery,conservative,0.2,10494,3973,0.5653906361178312,0.3785972936916333,2.826845425560355,15.0,0.22749999999999998,56.25,903.8575,157410.0,50841.984375,-106568.015625,-0.6770091838193253,-139424.58632464072,32856.570699640724,0.7043543921469922
post_delivery,conservative,0.3,15741,4565,0.6496371139889,0.29000698812019565,2.165374505861737,15.0,0.22749999999999998,56.25,1038.5375,236115.0,58417.73437499999,-177697.265625,-0.7525877882599581,-209136.87948696112,31439.613861961116,0.9195180722891566
post_delivery,conservative,0.5,26234,5497,0.7822683933399743,0.20953724174735078,1.5645367866799487,15.0,0.22749999999999998,56.25,1250.5674999999999,393510.0,70344.421875,-323165.578125,-0.8212385406342914,-348548.1796875,25382.6015625,1.2726456855254382
post_delivery,conservative,1.0,52468,7027,1.0,0.13392925211557521,1.0,15.0,0.22749999999999998,56.25,1598.6425,787020.0,89923.640625,-697096.359375,-0.8857416067888999,-697096.359375,0.0,1.9911009914140696
post_delivery,base,0.01,525,378,0.053792514586594564,0.72,5.375972676817987,12.0,0.35,75.0,132.29999999999998,6300.0,9922.499999999998,3622.499999999998,0.5749999999999997,-4454.287494282229,8076.787494282227,0.2222222222222222
post_delivery,base,0.02,1050,752,0.10701579621460082,0.7161904761904762,5.347528376940644,12.0,0.35,75.0,263.2,12600.0,19740.0,7140.0,0.5666666666666667,-8908.574988564458,16048.574988564458,0.22340425531914893
post_delivery,base,0.05,2624,1777,0.2528817418528533,0.6772103658536586,5.056478365676641,12.0,0.35,75.0,621.9499999999999,31488.0,46646.24999999999,15158.249999999993,0.4813976753048778,-22262.953114279182,37421.203114279175,0.23626336522228475
post_delivery,base,0.1,5247,2927,0.41653621744699015,0.5578425767105012,4.165203403279717,12.0,0.35,75.0,1024.45,62964.0,76833.75,13869.75,0.22028063655422145,-44517.42187142639,58387.17187142639,0.28681926887598225
post_delivery,base,0.2,10494,3973,0.5653906361178312,0.3785972936916333,2.826845425560355,12.0,0.35,75.0,1390.55,125928.0,104291.25,-21636.75,-0.1718184200495521,-89034.84374285278,67398.09374285278,0.4226126352881953
post_delivery,base,0.3,15741,4565,0.6496371139889,0.29000698812019565,2.165374505861737,12.0,0.35,75.0,1597.75,188892.0,119831.25,-69060.75,-0.365609713487072,-133552.2656142792,64491.5156142792,0.551710843373494
post_delivery,base,0.5,26234,5497,0.7822683933399743,0.20953724174735078,1.5645367866799487,12.0,0.35,75.0,1923.9499999999998,314808.0,144296.25,-170511.75,-0.5416372836776702,-222578.625,52066.875,0.7635874113152629
post_delivery,base,1.0,52468,7027,1.0,0.13392925211557521,1.0,12.0,0.35,75.0,2459.45,629616.0,184458.75,-445157.25,-0.7070297609971792,-445157.25,0.0,1.1946605948484417
post_delivery,optimistic,0.01,525,378,0.053792514586594564,0.72,5.375972676817987,9.600000000000001,0.4725,93.75,178.605,5040.000000000001,16744.21875,11704.21875,2.3222656249999996,-1925.3601466012624,13629.578896601262,0.14222222222222225
post_delivery,optimistic,0.02,1050,752,0.10701579621460082,0.7161904761904762,5.347528376940644,9.600000000000001,0.4725,93.75,355.32,10080.000000000002,33311.25,23231.25,2.3046874999999996,-3850.7202932025248,27081.970293202525,0.14297872340425535
post_delivery,optimistic,0.05,2624,1777,0.2528817418528533,0.6772103658536586,5.056478365676641,9.600000000000001,0.4725,93.75,839.6324999999999,25190.400000000005,78715.546875,53525.14687499999,2.1248232213462264,-9623.13338034612,63148.28025534611,0.15120855374226227
post_delivery,optimistic,0.1,5247,2927,0.41653621744699015,0.5578425767105012,4.165203403279717,9.600000000000001,0.4725,93.75,1383.0075,50371.200000000004,129656.953125,79285.75312499999,1.5740294677315605,-19242.599408032038,98528.35253303203,0.18356433208062864
post_delivery,optimistic,0.2,10494,3973,0.5653906361178312,0.3785972936916333,2.826845425560355,9.600000000000001,0.4725,93.75,1877.2424999999998,100742.40000000001,175991.48437499997,75249.08437499996,0.7469455202079756,-38485.198816064076,113734.28319106404,0.27047208658444505
post_delivery,optimistic,0.3,15741,4565,0.6496371139889,0.29000698812019565,2.165374505861737,9.600000000000001,0.4725,93.75,2156.9625,151113.60000000003,202215.234375,51101.634374999965,0.33816701061320725,-57727.79822409614,108829.43259909611,0.3530949397590362
post_delivery,optimistic,0.5,26234,5497,0.7822683933399743,0.20953724174735078,1.5645367866799487,9.600000000000001,0.4725,93.75,2597.3325,251846.40000000002,243499.921875,-8346.478125000023,-0.033141145257585665,-96209.32968750002,87862.8515625,0.4886959432417683
post_delivery,optimistic,1.0,52468,7027,1.0,0.13392925211557521,1.0,9.600000000000001,0.4725,93.75,3320.2574999999997,503692.80000000005,311274.140625,-192418.65937500005,-0.382015902103425,-192418.65937500005,0.0,0.7645827807030028
