queue_rank,order_month,seller_id,seller_state,seller_city,risk_status,risk_transition,action_tier,owner,sla_business_days,seller_orders,seller_gmv,commercial_value_at_risk_brl,priority_score,experience_risk_score,diagnostic_focus,first_action,success_metric,alert_reason
11,2018-08,04308b1ee57b6625f47df1d56f00eedf,SC,bombinhas,critical,unchanged,P1 Critical Stabilization,Account Manager,3,16,9026.74,1567.58286553281,77.23395263081127,83.24921752738653,fulfillment delay; customer dissatisfaction; commercial exposure,Review fulfillment process and agree on corrective operating plan.,Move seller from critical to watch or stable within two months.,high low-review risk; high late-delivery risk; high value exposure
12,2018-08,213b25e6f54661939f11710a6fddb871,SP,salto,critical,unchanged,P1 Critical Stabilization,Account Manager,3,25,3459.06,634.2960415520927,77.09643974960876,79.85915492957746,fulfillment delay; customer dissatisfaction; commercial exposure,Review fulfillment process and agree on corrective operating plan.,Move seller from critical to watch or stable within two months.,high low-review risk; high late-delivery risk; high value exposure
13,2018-08,ff1fb4c404b2efe68b03350a8dc24122,SP,mogi das cruzes,critical,became_eligible,P1 Critical Stabilization,Account Manager,3,7,1401.58,324.5310108519763,76.45320333231568,87.36111111111111,fulfillment delay; customer dissatisfaction; commercial exposure; recent performance deterioration,Review fulfillment process and agree on corrective operating plan.,Move seller from critical to watch or stable within two months.,high low-review risk; high late-delivery risk; material deterioration vs seller history; high value exposure
14,2018-08,f0b47fbbc6dee9aafe415a6e33051b3f,SP,maua,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,12,666.87,109.44497049725024,76.206530348929,82.91666666666666,fulfillment delay; customer dissatisfaction; recent performance deterioration,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high low-review risk; high late-delivery risk; material deterioration vs seller history
15,2018-08,2e1c9f22be269ef4643f826c9e650a52,SP,sao paulo,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,7,529.88,83.44151452399541,75.95341769378483,95.69053208137714,fulfillment delay; customer dissatisfaction; cancellation control; recent performance deterioration,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high low-review risk; high late-delivery risk; high cancellation risk; material deterioration vs seller history
16,2018-08,6edacfd9f9074789dad6d62ba7950b9c,SP,guarulhos,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,11,784.46,132.89655283206682,75.7774066369328,84.46205007824726,fulfillment delay; customer dissatisfaction; recent performance deterioration,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high low-review risk; high late-delivery risk; material deterioration vs seller history
17,2018-08,3ab971ce71839580d2ae5b4e40fe8044,SP,sao paulo,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,10,1741.14,304.80146104491286,74.74207077781004,80.9115805946792,fulfillment delay; customer dissatisfaction; commercial exposure; recent performance deterioration,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high low-review risk; high late-delivery risk; material deterioration vs seller history; high value exposure
18,2018-08,f8db351d8c4c4c22c6835c19a46f01b0,SP,salto,critical,unchanged,P1 Critical Stabilization,Account Manager,3,33,2613.69,308.3047967071926,74.0010758998435,65.99569640062597,commercial exposure,Review fulfillment process and agree on corrective operating plan.,Move seller from critical to watch or stable within two months.,high value exposure
19,2018-08,b76dba6c951ab00dc4edf0a1aa88037e,SP,sao paulo,critical,became_eligible,P1 Critical Stabilization,Account Manager,3,11,451.01,120.0524139834225,73.60028199607139,81.13262910798123,fulfillment delay; customer dissatisfaction; recent performance deterioration,Review fulfillment process and agree on corrective operating plan.,Move seller from critical to watch or stable within two months.,high low-review risk; high late-delivery risk; material deterioration vs seller history
20,2018-08,c679fb69a36e1d8349e8c50a217b4d58,RS,caxias do sul,critical,became_eligible,P1 Critical Stabilization,Account Manager,3,10,1195.54,216.50639042531895,73.51267810716439,81.14632237871675,fulfillment delay; customer dissatisfaction; commercial exposure; recent performance deterioration,Review fulfillment process and agree on corrective operating plan.,Move seller from critical to watch or stable within two months.,high low-review risk; high late-delivery risk; material deterioration vs seller history; high value exposure
21,2018-08,6560211a19b47992c3666cc44a7e94c0,SP,sao paulo,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,185,16008.5,2752.8182863487664,73.44287949921753,75.78247261345852,customer dissatisfaction; commercial exposure,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high low-review risk; high value exposure
22,2018-08,70c27847eca8195c983ed7e798c56743,RJ,rio de janeiro,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,21,3067.41,392.9095443875612,73.39456181533646,73.12402190923318,fulfillment delay; commercial exposure,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high late-delivery risk; high value exposure
23,2018-08,d91fb3b7d041e83b64a00a3edfb37e4f,SP,praia grande,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,48,4030.04,548.308087741054,73.28120109546167,72.0989827856025,fulfillment delay; customer dissatisfaction; commercial exposure,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high low-review risk; high late-delivery risk; high value exposure
24,2018-08,1da3aeb70d7989d1e6d9b0e887f97c23,SP,sao paulo,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,19,708.8,95.44731329369276,73.10445911122082,74.14514866979655,fulfillment delay,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high late-delivery risk
25,2018-08,d2374cbcbb3ca4ab1086534108cc3ab7,SP,ibitinga,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,25,1949.66,357.51378130834763,72.80721830985915,76.99726134585289,customer dissatisfaction; commercial exposure,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high low-review risk; high value exposure
26,2018-08,53243585a1d6dc2643021fd1853d8905,BA,lauro de freitas,watch,improved,P2 Watch Deterioration,Seller Operations Analyst,5,54,18524.25,4068.264944137538,72.43974960876369,56.032863849765256,customer dissatisfaction; commercial exposure; recent performance deterioration,Diagnose alert driver and monitor next-cycle order experience.,Prevent escalation into critical status.,high low-review risk; material deterioration vs seller history; high value exposure
27,2018-08,1900267e848ceeba8fa32d80c1a5f5a8,SP,ibitinga,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,30,2206.03,241.3652718581321,71.82629107981222,70.99374021909233,fulfillment delay; commercial exposure,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high late-delivery risk; high value exposure
28,2018-08,620c87c171fb2a6dd6e8bb4dec959fc6,RJ,petropolis,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,34,6087.12,1042.8991451946902,71.57785602503913,63.59937402190923,customer dissatisfaction; cancellation control; commercial exposure,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high low-review risk; high cancellation risk; high value exposure
29,2018-08,e504a4e2efaa45cbff7e268a2c58c956,SP,sao pedro,critical,became_eligible,P1 Critical Stabilization,Account Manager,3,6,738.74,149.21856988413356,70.96245299332644,87.22026604068857,fulfillment delay; customer dissatisfaction; recent performance deterioration,Review fulfillment process and agree on corrective operating plan.,Move seller from critical to watch or stable within two months.,high low-review risk; high late-delivery risk; material deterioration vs seller history
30,2018-08,5656537e588803a555b8eb41f07a944b,DF,brasilia,critical,unchanged,P1 Critical Stabilization,Account Manager,3,23,1496.34,217.55241319037358,70.36991392801252,71.42410015649452,fulfillment delay; customer dissatisfaction; commercial exposure,Review fulfillment process and agree on corrective operating plan.,Move seller from critical to watch or stable within two months.,high low-review risk; high late-delivery risk; high value exposure
31,2018-08,bce6a5ecf98e99fd2a8868b15c51f04b,SP,guarulhos,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,5,791.79,134.65994060494958,70.19713908450703,86.47104851330202,fulfillment delay; customer dissatisfaction; recent performance deterioration,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high low-review risk; high late-delivery risk; material deterioration vs seller history
32,2018-08,b561927807645834b59ef0d16ba55a24,SP,sao paulo,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,17,1181.2,135.73446296892678,69.8119626041437,69.29186228482003,fulfillment delay; commercial exposure,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high late-delivery risk; high value exposure
33,2018-08,53e4c6e0f4312d4d2107a8c9cddf45cd,SP,pedreira,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,22,1748.42,218.62563382945604,69.77631064162755,70.78051643192488,fulfillment delay; commercial exposure,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high late-delivery risk; high value exposure
34,2018-08,36890be00bbfc1cdb9a4a38a6af05a69,SP,osasco,critical,became_eligible,P1 Critical Stabilization,Account Manager,3,6,564.34,92.28601659263438,69.61329150610635,85.50273865414711,fulfillment delay; customer dissatisfaction; recent performance deterioration,Review fulfillment process and agree on corrective operating plan.,Move seller from critical to watch or stable within two months.,high low-review risk; high late-delivery risk; material deterioration vs seller history
35,2018-08,1025f0e2d44d7041d6cf58b6550e0bfa,SP,sao paulo,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,103,21001.34,2604.124635065415,69.4530516431925,68.12989045383412,fulfillment delay; commercial exposure,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high late-delivery risk; high value exposure
36,2018-08,5c6d4016c2a288f074fa0848a2b653d2,SP,sao paulo,watch,became_eligible,P3 Watch Monitoring,Operations Analyst,7,5,602.13,102.40441283226399,69.32880721830985,85.47143974960876,fulfillment delay; customer dissatisfaction; recent performance deterioration,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high low-review risk; high late-delivery risk; material deterioration vs seller history
37,2018-08,e8b4225284fbb02d16f200513f1f395d,SP,novo horizonte,watch,became_eligible,P3 Watch Monitoring,Operations Analyst,7,6,1593.48,199.29267009800463,68.94249776691491,75.43231611893584,fulfillment delay; commercial exposure; recent performance deterioration,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high late-delivery risk; material deterioration vs seller history; high value exposure
38,2018-08,b4ffb71f0cb1b1c3d63fad021ecf93e1,SP,sao paulo,watch,escalated,P2 Watch Deterioration,Seller Operations Analyst,5,10,872.95,123.719036561768,68.69588163278608,70.87245696400626,customer dissatisfaction; recent performance deterioration,Diagnose alert driver and monitor next-cycle order experience.,Prevent escalation into critical status.,high low-review risk; material deterioration vs seller history
39,2018-08,6860153b69cc696d5dcfe1cdaaafcf62,SP,capivari,watch,unchanged,P3 Watch Monitoring,Operations Analyst,7,21,1697.08,217.38174211769615,68.28364632237871,68.64632237871675,fulfillment delay; commercial exposure,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high late-delivery risk; high value exposure
40,2018-08,c31eff8334d6b3047ed34bebd4d62c36,SP,salto,watch,improved,P3 Watch Monitoring,Operations Analyst,7,11,994.83,136.44436178705533,67.6727950488944,77.65453834115806,fulfillment delay; customer dissatisfaction; commercial exposure,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high low-review risk; high late-delivery risk; high value exposure
41,2018-08,4a3ca9315b744ce9f8e9374361493884,SP,ibitinga,watch,escalated,P2 Watch Deterioration,Seller Operations Analyst,5,49,5934.42,967.7195735862587,67.45461658841941,74.46400625978092,customer dissatisfaction; commercial exposure,Diagnose alert driver and monitor next-cycle order experience.,Prevent escalation into critical status.,high low-review risk; high value exposure
42,2018-08,138dbe45fc62f1e244378131a6801526,SP,sao paulo,watch,escalated,P2 Watch Deterioration,Seller Operations Analyst,5,10,378.08,66.18614034015681,67.23342666006516,76.72143974960876,customer dissatisfaction; recent performance deterioration,Diagnose alert driver and monitor next-cycle order experience.,Prevent escalation into critical status.,high low-review risk; material deterioration vs seller history
43,2018-08,8648b1e89e9b349e32d3741b30ec737e,SP,jacarei,watch,escalated,P2 Watch Deterioration,Seller Operations Analyst,5,8,699.5,106.21799572257868,67.22183506628369,78.85367762128325,fulfillment delay; customer dissatisfaction,Diagnose alert driver and monitor next-cycle order experience.,Prevent escalation into critical status.,high low-review risk; high late-delivery risk
44,2018-08,729f06993dac8e860d4f02d7088ca48a,SP,limeira,watch,escalated,P2 Watch Deterioration,Seller Operations Analyst,5,5,1293.07,219.91276651390163,67.16455399061033,80.22691705790297,fulfillment delay; customer dissatisfaction; commercial exposure; recent performance deterioration,Diagnose alert driver and monitor next-cycle order experience.,Prevent escalation into critical status.,high low-review risk; high late-delivery risk; material deterioration vs seller history; high value exposure
45,2018-08,cac4c8e7b1ca6252d8f20b2fc1a2e4af,SP,indaiatuba,watch,became_eligible,P3 Watch Monitoring,Operations Analyst,7,9,527.0699999999999,113.62460191535759,67.06200147295064,86.58646322378716,fulfillment delay; customer dissatisfaction,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high low-review risk; high late-delivery risk
46,2018-08,688756f717c462a206ad854c5027a64a,SP,guarulhos,watch,unchanged,P3 Watch Monitoring,Operations Analyst,7,8,558.59,104.77067249356205,67.02496101526168,78.97104851330204,customer dissatisfaction; recent performance deterioration,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high low-review risk; material deterioration vs seller history
47,2018-08,2ff97219cb8622eaf3cd89b7d9c09824,SP,salto,watch,escalated,P2 Watch Deterioration,Seller Operations Analyst,5,13,1100.87,108.47762140192017,66.99562601845655,57.292644757433486,fulfillment delay; cancellation control; commercial exposure; recent performance deterioration,Diagnose alert driver and monitor next-cycle order experience.,Prevent escalation into critical status.,high late-delivery risk; high cancellation risk; material deterioration vs seller history; high value exposure
48,2018-08,17ca9b9e9b9ef8fdb529001b49ebb50f,MG,betim,watch,escalated,P2 Watch Deterioration,Seller Operations Analyst,5,10,854.99,121.17365149200528,66.65063923125999,71.52973395931143,customer dissatisfaction,Diagnose alert driver and monitor next-cycle order experience.,Prevent escalation into critical status.,high low-review risk
49,2018-08,06579cb253ecd5a3a12a9e6eb6bf8f47,SP,sao paulo - sp,watch,became_eligible,P3 Watch Monitoring,Operations Analyst,7,8,686.9200000000001,104.30774213260007,66.57155410987761,78.85367762128325,fulfillment delay; customer dissatisfaction,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high low-review risk; high late-delivery risk
50,2018-08,2d2c62bef4c8ba0dd74e0e228e808539,SP,ribeirao preto,watch,became_eligible,P3 Watch Monitoring,Operations Analyst,7,7,1736.97,273.5249631666496,66.54173822468488,77.57042253521126,customer dissatisfaction; commercial exposure,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high low-review risk; high value exposure
51,2018-08,634964b17796e64304cadf1ad3050fb7,RJ,rio de janeiro,watch,escalated,P2 Watch Deterioration,Seller Operations Analyst,5,17,2124.67,244.15081394868747,65.7857508230265,69.29186228482003,fulfillment delay; commercial exposure,Diagnose alert driver and monitor next-cycle order experience.,Prevent escalation into critical status.,high late-delivery risk; high value exposure
52,2018-08,f262cbc1c910c83959f849465454ddd3,SP,sao paulo,watch,escalated,P2 Watch Deterioration,Seller Operations Analyst,5,7,415.21,65.38414593022597,65.65877241947766,84.56768388106417,fulfillment delay; customer dissatisfaction,Diagnose alert driver and monitor next-cycle order experience.,Prevent escalation into critical status.,high low-review risk; high late-delivery risk
53,2018-08,28f10b1c5e5abb9d4857745bede6147c,SP,sao paulo,watch,became_eligible,P3 Watch Monitoring,Operations Analyst,7,8,372.9,56.62428964252979,65.56988280179887,81.40062597809077,fulfillment delay; customer dissatisfaction,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high low-review risk; high late-delivery risk
54,2018-08,ea00f977a203ff88adf7057cb7806998,SP,santos,watch,escalated,P2 Watch Deterioration,Seller Operations Analyst,5,12,395.06,52.49059501985946,64.69276001380211,70.96635367762127,fulfillment delay,Diagnose alert driver and monitor next-cycle order experience.,Prevent escalation into critical status.,high late-delivery risk
55,2018-08,dfa0c4c6229ab200a4a1336b4d7128ff,SC,florianopolis,watch,improved,P3 Watch Monitoring,Operations Analyst,7,21,2098.36,371.14137548158243,64.62764084507043,51.52190923317684,customer dissatisfaction; commercial exposure,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high low-review risk; high value exposure
56,2018-08,1e8b33f18b4f7598d87f5cbee2282cc2,SP,sao paulo,watch,escalated,P2 Watch Deterioration,Seller Operations Analyst,5,10,1955.93,212.0069557999795,64.31747052057872,69.3114241001565,fulfillment delay; commercial exposure,Diagnose alert driver and monitor next-cycle order experience.,Prevent escalation into critical status.,high late-delivery risk; high value exposure
57,2018-08,81783131d2a97c8d44d406a4be81b5d9,SP,sorocaba,watch,became_eligible,P3 Watch Monitoring,Operations Analyst,7,9,1517.3,284.5889496311815,64.00618001196503,68.15727699530517,customer dissatisfaction; cancellation control; commercial exposure,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high low-review risk; high cancellation risk; high value exposure
58,2018-08,3d5d0dc7073a299e31fa718ce1bc00b6,RJ,rio de janeiro,watch,unchanged,P3 Watch Monitoring,Operations Analyst,7,6,258.7,42.30498014054385,64.00375004795391,84.35250391236306,fulfillment delay; customer dissatisfaction; recent performance deterioration,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high low-review risk; high late-delivery risk; material deterioration vs seller history
59,2018-08,5a8e7d5003a1f221f9e1d6e411de7c23,SP,campinas,watch,escalated,P2 Watch Deterioration,Seller Operations Analyst,5,6,403.89,50.513540506239856,63.61928677328235,87.40414710485133,fulfillment delay; cancellation control,Diagnose alert driver and monitor next-cycle order experience.,Prevent escalation into critical status.,high late-delivery risk; high cancellation risk
60,2018-08,4c498c7345e89aebad651544829beca0,SP,carapicuiba,watch,became_eligible,P3 Watch Monitoring,Operations Analyst,7,5,433.61,56.39977060800489,63.22764818075117,76.90336463223787,fulfillment delay; recent performance deterioration,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high late-delivery risk; material deterioration vs seller history
61,2018-08,88460e8ebdecbfecb5f9601833981930,PR,maringa,watch,unchanged,P3 Watch Monitoring,Operations Analyst,7,14,1521.35,279.7385354325047,62.96661484029431,78.2394366197183,fulfillment delay; customer dissatisfaction; commercial exposure,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high low-review risk; high late-delivery risk; high value exposure
62,2018-08,7c67e1448b00f6e969d365cea6b010ab,SP,itaquaquecetuba,watch,improved,P3 Watch Monitoring,Operations Analyst,7,9,1744.45,195.60438435685901,62.80058830476355,70.83528951486697,fulfillment delay; commercial exposure,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high late-delivery risk; high value exposure
63,2018-08,7681ef142fd2c19048da7430856b5588,SP,guarulhos,watch,escalated,P2 Watch Deterioration,Seller Operations Analyst,5,8,5310.36,616.7142582165767,62.700550041730175,71.88967136150235,fulfillment delay; commercial exposure,Diagnose alert driver and monitor next-cycle order experience.,Prevent escalation into critical status.,high late-delivery risk; high value exposure
64,2018-08,af3ef48d0e13835e529c29ac573c63e5,SP,araraquara,watch,became_eligible,P3 Watch Monitoring,Operations Analyst,7,5,401.1,68.21518606782769,62.52998092723004,80.22691705790297,fulfillment delay; customer dissatisfaction; recent performance deterioration,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high low-review risk; high late-delivery risk; material deterioration vs seller history
65,2018-08,a416b6a846a11724393025641d4edd5e,SP,sao paulo,watch,improved,P3 Watch Monitoring,Operations Analyst,7,9,1543.1,173.02710051940102,62.39670513072657,79.33098591549295,cancellation control; commercial exposure,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high cancellation risk; high value exposure
66,2018-08,6e4a902d1054e4e17aa6eab87fac1c75,SP,sorocaba,watch,new_or_returning,P3 Watch Monitoring,Operations Analyst,7,7,695.7,83.78693349628273,61.46038863307369,74.0962441314554,fulfillment delay,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high late-delivery risk
67,2018-08,da8622b14eb17ae2831f4ac5b9dab84a,SP,piracicaba,watch,escalated,P2 Watch Deterioration,Seller Operations Analyst,5,58,5635.11,596.1481698747326,61.26780125195618,50.82550860719875,fulfillment delay; commercial exposure,Diagnose alert driver and monitor next-cycle order experience.,Prevent escalation into critical status.,high late-delivery risk; high value exposure
68,2018-08,95ec4458365c4d11f452ccf538377619,SP,limeira,watch,escalated,P2 Watch Deterioration,Seller Operations Analyst,5,5,382.86,51.87365032080661,61.06339495305164,72.63693270735524,fulfillment delay; customer dissatisfaction; recent performance deterioration,Diagnose alert driver and monitor next-cycle order experience.,Prevent escalation into critical status.,high low-review risk; high late-delivery risk; material deterioration vs seller history
69,2018-08,ceaec5548eefc6e23e6607c5435102e7,SP,sao paulo,watch,escalated,P2 Watch Deterioration,Seller Operations Analyst,5,12,3523.43,468.14898296669725,60.91327676801061,56.410406885759,commercial exposure,Diagnose alert driver and monitor next-cycle order experience.,Prevent escalation into critical status.,high value exposure
70,2018-08,7202e2ba20579a9bd1acb29e61fe71f6,SP,franca,watch,became_eligible,P3 Watch Monitoring,Operations Analyst,7,10,2662.87,288.6335208269679,60.57600858496581,65.12128325508608,commercial exposure,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high value exposure
71,2018-08,e333046ce6517bd8bb510291d44f0130,SP,ipaussu,watch,became_eligible,P3 Watch Monitoring,Operations Analyst,7,6,427.64,53.483895273684446,60.56366816456496,69.84546165884194,recent performance deterioration,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,material deterioration vs seller history
72,2018-08,d98eec89afa3380e14463da2aabaea72,RS,porto alegre,watch,escalated,P2 Watch Deterioration,Seller Operations Analyst,5,6,308.63,38.59960386848104,60.17673510440298,69.84546165884194,recent performance deterioration,Diagnose alert driver and monitor next-cycle order experience.,Prevent escalation into critical status.,material deterioration vs seller history
73,2018-08,a8739afb32aaa45e01815ca76f76f54b,SP,sao bernardo do campo,watch,new_or_returning,P3 Watch Monitoring,Operations Analyst,7,5,212.46,36.133129972502296,60.063211561032865,80.22691705790297,fulfillment delay; customer dissatisfaction; recent performance deterioration,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high low-review risk; high late-delivery risk; material deterioration vs seller history
74,2018-08,ca4b77513ac2040591b0d8fae6958380,SP,sando andre,watch,became_eligible,P3 Watch Monitoring,Operations Analyst,7,11,1498.45,157.18048303322394,59.896460263928034,56.44953051643191,fulfillment delay; commercial exposure,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high late-delivery risk; high value exposure
75,2018-08,ef2fbc2b607d8492bcffe657a4645434,RJ,rio de janeiro,watch,unchanged,P3 Watch Monitoring,Operations Analyst,7,14,966.76,177.7631882964001,59.729783030242366,59.75352112676055,customer dissatisfaction; commercial exposure,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high low-review risk; high value exposure
76,2018-08,2e90cb1677d35cfe24eef47d441b7c87,SP,sao paulo,watch,became_eligible,P3 Watch Monitoring,Operations Analyst,7,5,876.87,114.054719340055,59.55775381455399,76.90336463223787,fulfillment delay,Add to weekly monitoring list and review repeated alert drivers.,Maintain stable status and avoid deterioration.,high late-delivery risk
